i,j,x,y,p,w,q
2,9,0.058824,0.196078,1.060030,1.003460,0.000029
2,10,0.058824,0.215686,1.038641,1.003806,0.000052
2,11,0.058824,0.235294,1.016666,1.004152,0.000089
2,12,0.058824,0.254902,0.994438,1.004498,0.000147
2,13,0.058824,0.274510,0.972294,1.004844,0.000234
2,14,0.058824,0.294118,0.950571,1.005190,0.000356
2,15,0.058824,0.313725,0.929597,1.005536,0.000524
2,16,0.058824,0.333333,0.909690,1.005882,0.000740
2,17,0.058824,0.352941,0.891152,1.006228,0.001007
2,18,0.058824,0.372549,0.874264,1.006574,0.001318
2,19,0.058824,0.392157,0.859282,1.006920,0.001659
2,20,0.058824,0.411765,0.846433,1.007266,0.002011
2,21,0.058824,0.431373,0.835912,1.007612,0.002345
2,22,0.058824,0.450980,0.827879,1.007958,0.002632
2,23,0.058824,0.470588,0.822455,1.008304,0.002843
2,24,0.058824,0.490196,0.819722,1.008651,0.002954
2,25,0.058824,0.509804,0.819722,1.008997,0.002954
2,26,0.058824,0.529412,0.822455,1.009343,0.002843
2,27,0.058824,0.549020,0.827879,1.009689,0.002632
2,28,0.058824,0.568627,0.835912,1.010035,0.002345
2,29,0.058824,0.588235,0.846433,1.010381,0.002011
2,30,0.058824,0.607843,0.859282,1.010727,0.001659
2,31,0.058824,0.627451,0.874264,1.011073,0.001318
2,32,0.058824,0.647059,0.891152,1.011419,0.001007
2,33,0.058824,0.666667,0.909690,1.011765,0.000740
2,34,0.058824,0.686275,0.929597,1.012111,0.000524
2,35,0.058824,0.705882,0.950571,1.012457,0.000356
2,36,0.058824,0.725490,0.972294,1.012803,0.000234
2,37,0.058824,0.745098,0.994438,1.013149,0.000147
2,38,0.058824,0.764706,1.016666,1.013495,0.000089
2,39,0.058824,0.784314,1.038641,1.013841,0.000052
2,40,0.058824,0.803922,1.060030,1.014187,0.000029
2,41,0.058824,0.823529,1.080510,1.014533,0.000016
2,42,0.058824,0.843137,1.099769,1.014879,0.000008
2,43,0.058824,0.862745,1.117515,1.015225,0.000004
2,44,0.058824,0.882353,1.133480,1.015571,0.000002
2,45,0.058824,0.901961,1.147422,1.015917,0.000001
2,46,0.058824,0.921569,1.159129,1.016263,0.000000
2,47,0.058824,0.941176,1.168424,1.016609,0.000000
2,48,0.058824,0.960784,1.175166,1.016955,0.000000
2,49,0.058824,0.980392,1.179252,1.017301,0.000000
3,0,0.078431,0.019608,1.234754,1.000461,0.000000
3,1,0.078431,0.039216,1.229402,1.000923,0.000000
3,2,0.078431,0.058824,1.220573,1.001384,0.000000
3,3,0.078431,0.078431,1.208401,1.001845,0.000001
3,4,0.078431,0.098039,1.193069,1.002307,0.000002
3,5,0.078431,0.117647,1.174810,1.002768,0.000005
3,6,0.078431,0.137255,1.153902,1.003230,0.000010
3,7,0.078431,0.156863,1.130660,1.003691,0.000019
3,8,0.078431,0.176471,1.105438,1.004152,0.000037
