row,col,value
266,266,1.011765e+00
267,267,1.012457e+00
268,268,1.013149e+00
269,269,1.013841e+00
270,270,1.014533e+00
271,271,1.015225e+00
272,272,1.015917e+00
273,273,1.016609e+00
274,274,1.017301e+00
275,275,1.017993e+00
276,276,1.018685e+00
277,277,1.019377e+00
278,278,1.020069e+00
279,279,1.020761e+00
280,280,1.021453e+00
281,281,1.022145e+00
282,282,1.022837e+00
283,283,1.023529e+00
284,284,1.024221e+00
285,285,1.024913e+00
286,286,1.025606e+00
287,287,1.026298e+00
288,288,1.026990e+00
289,289,1.027682e+00
290,290,1.028374e+00
291,291,1.029066e+00
292,292,1.029758e+00
293,293,1.030450e+00
294,294,1.031142e+00
295,295,1.031834e+00
296,296,1.032526e+00
297,297,1.033218e+00
298,298,1.033910e+00
299,299,1.034602e+00
300,300,1.000807e+00
301,301,1.001615e+00
302,302,1.002422e+00
303,303,1.003230e+00
304,304,1.004037e+00
305,305,1.004844e+00
306,306,1.005652e+00
307,307,1.006459e+00
308,308,1.007266e+00
309,309,1.008074e+00
310,310,1.008881e+00
311,311,1.009689e+00
312,312,1.010496e+00
313,313,1.011303e+00
314,314,1.012111e+00
315,315,1.012918e+00
316,316,1.013725e+00
317,317,1.014533e+00
318,318,1.015340e+00
319,319,1.016148e+00
320,320,1.016955e+00
321,321,1.017762e+00
322,322,1.018570e+00
323,323,1.019377e+00
324,324,1.020185e+00
325,325,1.020992e+00
326,326,1.021799e+00
327,327,1.022607e+00
328,328,1.023414e+00
329,329,1.024221e+00
330,330,1.025029e+00
331,331,1.025836e+00
332,332,1.026644e+00
333,333,1.027451e+00
334,334,1.028258e+00
335,335,1.029066e+00
336,336,1.029873e+00
337,337,1.030681e+00
338,338,1.031488e+00
339,339,1.032295e+00
340,340,1.033103e+00
341,341,1.033910e+00
342,342,1.034717e+00
343,343,1.035525e+00
344,344,1.036332e+00
345,345,1.037140e+00
346,346,1.037947e+00
347,347,1.038754e+00
348,348,1.039562e+00
349,349,1.040369e+00
350,350,1.000923e+00
351,351,1.001845e+00
352,352,1.002768e+00
353,353,1.003691e+00
354,354,1.004614e+00
355,355,1.005536e+00
356,356,1.006459e+00
357,357,1.007382e+00
358,358,1.008304e+00
359,359,1.009227e+00
360,360,1.010150e+00
361,361,1.011073e+00
362,362,1.011995e+00
363,363,1.012918e+00
364,364,1.013841e+00
365,365,1.014764e+00
366,366,1.015686e+00
367,367,1.016609e+00
368,368,1.017532e+00
369,369,1.018454e+00
370,370,1.019377e+00
371,371,1.020300e+00
372,372,1.021223e+00
373,373,1.022145e+00
374,374,1.023068e+00
375,375,1.023991e+00
376,376,1.024913e+00
377,377,1.025836e+00
378,378,1.026759e+00
379,379,1.027682e+00
380,380,1.028604e+00
381,381,1.029527e+00
382,382,1.030450e+00
383,383,1.031373e+00
384,384,1.032295e+00
385,385,1.033218e+00
386,386,1.034141e+00
387,387,1.035063e+00
388,388,1.035986e+00
389,389,1.036909e+00
390,390,1.037832e+00
391,391,1.038754e+00
392,392,1.039677e+00
393,393,1.040600e+00
394,394,1.041522e+00
395,395,1.042445e+00
396,396,1.043368e+00
397,397,1.044291e+00
398,398,1.045213e+00
399,399,1.046136e+00
400,400,1.001038e+00
401,401,1.002076e+00
402,402,1.003114e+00
403,403,1.004152e+00
404,404,1.005190e+00
405,405,1.006228e+00
406,406,1.007266e+00
407,407,1.008304e+00
408,408,1.009343e+00
409,409,1.010381e+00
410,410,1.011419e+00
411,411,1.012457e+00
412,412,1.013495e+00
413,413,1.014533e+00
414,414,1.015571e+00
415,415,1.016609e+00
416,416,1.017647e+00
417,417,1.018685e+00
418,418,1.019723e+00
419,419,1.020761e+00
420,420,1.021799e+00
421,421,1.022837e+00
422,422,1.023875e+00
423,423,1.024913e+00
424,424,1.025952e+00
425,425,1.026990e+00
426,426,1.028028e+00
427,427,1.029066e+00
428,428,1.030104e+00
429,429,1.031142e+00
430,430,1.032180e+00
431,431,1.033218e+00
432,432,1.034256e+00
433,433,1.035294e+00
434,434,1.036332e+00
435,435,1.037370e+00
436,436,1.038408e+00
437,437,1.039446e+00
438,438,1.040484e+00
439,439,1.041522e+00
440,440,1.042561e+00
441,441,1.043599e+00
442,442,1.044637e+00
443,443,1.045675e+00
444,444,1.046713e+00
445,445,1.047751e+00
446,446,1.048789e+00
447,447,1.049827e+00
448,448,1.050865e+00
449,449,1.051903e+00
450,450,1.001153e+00
451,451,1.002307e+00
452,452,1.003460e+00
453,453,1.004614e+00
454,454,1.005767e+00
455,455,1.006920e+00
456,456,1.008074e+00
457,457,1.009227e+00
458,458,1.010381e+00
459,459,1.011534e+00
460,460,1.012687e+00
461,461,1.013841e+00
462,462,1.014994e+00
463,463,1.016148e+00
464,464,1.017301e+00
465,465,1.018454e+00
466,466,1.019608e+00
467,467,1.020761e+00
468,468,1.021915e+00
469,469,1.023068e+00
470,470,1.024221e+00
471,471,1.025375e+00
472,472,1.026528e+00
473,473,1.027682e+00
474,474,1.028835e+00
475,475,1.029988e+00
476,476,1.031142e+00
477,477,1.032295e+00
478,478,1.033449e+00
479,479,1.034602e+00
480,480,1.035755e+00
481,481,1.036909e+00
482,482,1.038062e+00
483,483,1.039216e+00
484,484,1.040369e+00
485,485,1.041522e+00
486,486,1.042676e+00
487,487,1.043829e+00
